,AccidentArea,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,Make,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PoliceReportFiled,WitnessPresent,VehiclePrice,AgentType,AddressChange_Claim,PastNumberOfClaims,NumberOfSuppliments,NumberOfCars,Year,BasePolicy,Month,AgeOfVehicle,AgeOfPolicyHolder,Age,FraudFound_P,RepNumber,Deductible
0,1,0,2,0,1,1,6,0,3,2,0,0,5,0,0,3,3,2,0,2,2,1,3,21,0,12,300
1,1,1,2,0,1,1,6,3,3,2,1,0,5,0,3,3,3,0,0,1,4,4,4,34,0,15,400
2,1,1,1,0,1,1,6,2,3,2,0,0,5,0,3,0,3,0,0,1,10,5,6,47,0,7,400
3,0,1,1,1,0,1,17,1,3,2,1,0,0,0,3,0,2,0,0,2,6,6,7,65,0,4,400
4,1,0,2,1,1,1,6,0,3,2,0,0,5,0,3,3,3,0,0,1,4,3,4,27,0,3,400
5,1,1,2,1,1,1,6,2,3,2,0,0,5,0,3,3,1,0,0,1,10,3,2,20,0,12,400
6,1,1,1,1,1,1,6,0,3,2,0,0,5,0,3,0,0,0,0,1,3,5,5,36,0,14,400
7,1,1,2,0,1,1,6,3,3,2,0,0,5,0,3,0,3,0,0,1,9,7,0,0,0,1,400
8,1,1,2,0,1,1,6,3,3,2,0,1,5,0,3,3,1,0,0,1,2,4,4,30,0,7,400
9,1,1,1,0,2,2,5,0,3,2,0,0,5,0,3,1,1,0,0,0,0,6,5,42,0,7,400
10,1,1,2,0,0,0,9,2,3,2,0,0,5,0,3,3,3,0,0,0,7,6,8,71,0,7,400
11,1,1,1,0,0,1,6,0,3,2,0,0,0,0,3,1,3,0,0,2,7,6,6,52,0,13,400
12,1,1,1,0,0,1,5,0,3,2,0,0,5,0,3,0,3,0,0,2,4,5,4,28,0,11,400
13,0,1,2,1,0,0,6,2,3,2,0,0,5,0,3,3,3,0,0,1,4,7,0,0,0,12,400
14,1,1,1,0,0,1,5,0,3,2,0,0,5,0,3,3,3,0,0,2,4,6,7,61,0,3,400
15,1,1,2,0,0,1,5,0,3,2,0,0,5,0,3,3,3,0,0,2,1,4,5,38,0,16,400
16,1,1,1,0,0,0,5,3,3,2,0,0,5,0,3,3,3,0,0,0,0,5,5,41,0,15,400
17,1,0,1,1,0,0,2,0,3,2,0,0,0,0,3,3,0,0,0,1,5,5,4,28,0,6,400
18,1,1,2,0,0,1,13,0,3,2,0,0,0,0,3,0,3,0,0,2,8,5,4,32,0,6,400
19,1,1,1,1,0,1,6,1,3,2,0,0,5,0,3,1,2,0,0,2,0,4,4,30,0,2,400
20,1,1,1,0,0,1,9,0,3,2,0,0,0,0,3,0,2,0,0,2,0,6,5,40,0,3,400
21,1,1,1,0,0,0,2,1,3,2,0,0,0,0,2,0,3,1,0,1,4,6,6,47,0,13,400
22,1,1,1,0,0,1,9,2,3,2,0,0,0,0,3,0,0,0,0,2,1,6,7,63,0,8,400
23,1,1,2,1,0,1,13,2,3,2,0,0,1,0,3,3,1,0,0,2,6,4,4,31,0,5,400
24,1,1,1,0,0,0,9,2,3,2,1,0,5,0,3,2,3,0,0,0,11,6,5,45,0,12,400
25,1,1,1,0,0,1,13,3,3,2,0,0,0,0,3,2,3,0,0,2,7,6,7,60,0,16,400
26,1,1,1,0,0,0,6,1,3,2,0,0,1,0,3,2,2,0,0,1,7,3,3,21,0,1,400
27,1,1,1,0,0,0,0,2,3,2,0,0,1,0,3,1,0,0,0,0,8,5,5,42,0,1,400
28,1,1,2,0,0,0,6,0,3,2,0,0,5,0,3,3,3,0,0,0,5,7,0,0,1,9,400
29,1,0,1,0,0,0,9,2,3,2,0,0,0,0,3,3,3,0,0,1,8,5,5,39,0,12,400
30,1,1,1,0,0,0,3,0,3,2,0,0,1,1,3,1,3,0,0,1,7,6,6,47,0,2,400
31,1,1,2,0,0,0,6,0,3,2,0,0,5,0,3,0,3,0,0,1,7,7,0,0,0,6,400
